StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Trait_Anxiety_01,Trait_Anxiety_02,Trait_Anxiety_03,Trait_Anxiety_04,Trait_Anxiety_05,Trait_Anxiety_06,Trait_Anxiety_07,Trait_Anxiety_08,Trait_Anxiety_09,AttentionCheck_B,Trait_Anxiety_10,Trait_Anxiety_11,Trait_Anxiety_12,Trait_Anxiety_13,Trait_Anxiety_14,Trait_Anxiety_15,Trait_Anxiety_16,Trait_Anxiety_17,Trait_Anxiety_18,Trait_Anxiety_19,Trait_Anxiety_20,Q8,Random ID
2/22/2022 14:02,2/22/2022 14:04,IP Address,14.139.38.176,100,95,TRUE,2/22/2022 14:04,R_2v8tF5tAunFtB9k,,,,,26.49690247,80.32458496,anonymous,EN,Often,Sometimes,Often,Almost never,Almost never,Sometimes,Almost Always,Almost never,Sometimes,Almost Always,Often,Almost never,Almost never,Often,Often,Almost never,Sometimes,Sometimes,Sometimes,Often,Sometimes,190103,6499221
2/22/2022 17:31,2/22/2022 17:32,IP Address,171.76.186.127,100,75,TRUE,2/22/2022 17:32,R_3NJJh27Tqiiv8vo,,,,,26.87559509,80.91149902,anonymous,EN,Often,Sometimes,Often,Almost never,Almost never,Often,Often,Almost never,Sometimes,Almost Always,Almost Always,Sometimes,Sometimes,Almost Always,Almost Always,Almost never,Often,Sometimes,Almost never,Sometimes,Sometimes,21128405,1730605
2/22/2022 18:56,2/22/2022 18:58,IP Address,157.50.30.187,100,107,TRUE,2/22/2022 18:58,R_3j6bD0cZUI5179N,,,,,12.96339417,77.58551025,anonymous,EN,Almost Always,Sometimes,Often,Almost Always,Almost never,Almost Always,Often,Almost never,Sometimes,Almost never,Almost Always,Sometimes,Sometimes,Often,Sometimes,Almost never,Often,Often,Often,Often,Sometimes,180801,1762354
2/22/2022 19:10,2/22/2022 19:11,IP Address,14.139.38.132,100,97,TRUE,2/22/2022 19:11,R_3JwR30jtOKOnLKi,,,,,26.49690247,80.32458496,anonymous,EN,Sometimes,Sometimes,Often,Sometimes,Almost never,Often,Often,Sometimes,Often,Almost Always,Sometimes,Almost never,Often,Sometimes,Sometimes,Sometimes,Sometimes,Almost never,Sometimes,Often,Sometimes,21111038,3131374
2/22/2022 20:36,2/22/2022 20:37,IP Address,103.154.47.198,100,83,TRUE,2/22/2022 20:37,R_3lS6CTGlHr4gD9n,,,,,27.71420288,85.31451416,anonymous,EN,Often,Almost Always,Sometimes,Almost Always,Often,Often,Sometimes,Almost Always,Often,Almost Always,Sometimes,Almost Always,Almost Always,Often,Sometimes,Often,Sometimes,Almost Always,Often,Sometimes,Sometimes,20111012,3231753
2/22/2022 21:40,2/22/2022 21:42,IP Address,27.97.202.244,100,157,TRUE,2/22/2022 21:42,R_PtAo9GY8ecNsEYp,,,,,12.96339417,77.58551025,anonymous,EN,Often,Almost never,Almost Always,Almost never,Almost never,Sometimes,Often,Almost never,Sometimes,Almost Always,Often,Sometimes,Sometimes,Often,Often,Almost never,Often,Sometimes,Almost never,Often,Sometimes,190039,9710370
2/23/2022 2:26,2/23/2022 2:28,IP Address,117.96.163.100,100,145,TRUE,2/23/2022 2:28,R_1QgsLpKHOK6n67q,,,,,26.87559509,80.91149902,anonymous,EN,Sometimes,Often,Almost never,Sometimes,Sometimes,Almost never,Sometimes,Sometimes,Often,Almost Always,Sometimes,Often,Sometimes,Almost never,Sometimes,Sometimes,Sometimes,Often,Sometimes,Almost never,Often,20118275,4064260
2/23/2022 3:13,2/23/2022 3:15,IP Address,14.139.38.175,100,83,TRUE,2/23/2022 3:15,R_b7uOwhCWextEOnD,,,,,26.49690247,80.32458496,anonymous,EN,Almost never,Often,Almost never,Often,Sometimes,Almost never,Almost never,Sometimes,Sometimes,Almost Always,Almost never,Sometimes,Often,Almost never,Almost never,Often,Almost never,Sometimes,Often,Almost never,Often,190635,1691376
2/23/2022 4:07,2/23/2022 4:08,IP Address,47.15.179.253,100,79,TRUE,2/23/2022 4:08,R_1M5S21M6pLsM24j,,,,,26.87559509,80.91149902,anonymous,EN,Sometimes,Often,Almost never,Sometimes,Often,Sometimes,Sometimes,Often,Almost Always,Almost Always,Sometimes,Often,Often,Almost never,Almost never,Sometimes,Sometimes,Almost Always,Often,Sometimes,Sometimes,21111015,2946122
2/23/2022 9:33,2/23/2022 9:36,IP Address,106.200.221.78,100,126,TRUE,2/23/2022 9:36,R_1iqG5rQNkrpUhz5,,,,,12.96339417,77.58551025,anonymous,EN,Often,Almost never,Almost Always,Almost never,Almost never,Often,Often,Sometimes,Sometimes,Almost Always,Often,Sometimes,Sometimes,Almost Always,Sometimes,Sometimes,Often,Sometimes,Almost never,Often,Almost never,210744,9614919
